Area,Bedrooms,Bathrooms,Floors,Age,Parking,Distance_City,Price
3219,1,1,3,17,1,7.47,875861.18
2833,1,4,1,1,0,7.34,787539.7
2669,5,1,3,12,3,7.39,793846.87
626,2,4,2,17,1,7.24,258571.69
3727,3,1,1,24,0,11.41,990079.87
777,4,1,2,5,2,25.05,286893.12
3133,3,2,3,4,0,20.18,878490.11
1553,1,4,2,29,2,5.72,445757.11
2055,2,3,3,4,1,16.49,615469.66
1705,5,2,3,20,0,7.64,578849.54
731,3,4,2,4,1,27.48,253680.49
1470,4,4,3,29,1,8.68,497923.33
1610,5,3,3,27,3,11.5,560634.09
2621,1,1,1,9,1,23.97,678087.47
2329,5,1,2,24,3,16.34,720096.51
647,1,3,3,21,0,9.51,238691.85
1247,4,1,3,16,1,15.72,426542.21
3217,5,2,1,23,1,16.64,917978.45
3789,5,1,3,20,3,1.56,1132154.37
3904,3,2,1,15,0,3.48,1067523.4
2590,1,2,1,30,1,8.69,712719.95
1467,5,2,3,19,3,29.86,454696.17
3261,3,4,3,28,0,8.19,939421.04
2868,2,2,1,4,0,7.64,807510.97
728,3,1,3,15,2,20.4,262280.69
2938,5,4,1,30,3,6.52,897990.66
997,4,3,2,26,3,26.05,361309.91
3246,1,1,2,21,0,8.21,872365.16
1379,5,4,1,27,1,9.08,484791.34
2415,5,1,1,34,0,29.1,679390.15
3686,2,2,2,31,3,7.2,1009361.43
2152,1,4,2,29,2,13.27,622762.37
3592,5,4,1,12,2,7.31,1084763.04
849,3,1,1,30,1,2.65,308416.4
2680,1,2,1,4,1,12.71,755807.49
2971,5,1,3,5,3,20.06,860111.15
2915,5,3,2,13,2,7.92,868492.71
1828,4,3,1,0,3,19.01,595109.06
2906,1,1,3,13,2,4.84,812399.83
1600,3,3,1,28,2,18.74,483552.3
3905,5,1,3,35,2,28.02,1072184.2
1683,1,1,3,35,1,8.9,492645.98
3077,2,3,1,16,3,8.28,880209.3
3198,4,3,1,0,2,23.36,904457.53
3209,3,2,3,28,3,17.27,922442.99
3430,2,1,2,35,1,13.46,929708.35
771,3,3,1,22,1,20.78,259013.1
2893,4,2,1,10,1,26.56,783701.36
701,2,3,2,15,2,5.62,287260.92
758,4,2,1,29,2,9.85,278730.1
3857,2,2,1,12,3,10.52,1082927.72
1743,3,4,3,34,2,28.24,484070.16
1072,3,2,3,16,0,4.14,364045.15
1884,4,1,2,12,2,2.29,614156.24
2386,1,2,2,27,0,28.52,624312.8
3317,1,3,3,19,3,10.46,918993.31
3455,3,2,1,26,3,20.64,950740.99
1832,4,1,2,18,1,13.47,540232.2
2975,5,3,2,28,3,20.59,835487.93
3860,2,1,2,32,2,3.71,1045055.29
3676,2,3,1,12,1,1.71,1034476.82
3747,1,4,2,12,3,15.34,1051622.72
1599,2,1,1,27,1,6.1,483692.8
805,5,2,1,29,1,24.24,272819.52
3334,5,3,2,32,3,25.09,906415.1
3646,4,4,2,15,2,23.21,1016495.31
2735,4,2,2,28,0,21.69,755645.08
2812,1,2,1,14,3,21.12,766106.18
3493,2,1,2,26,2,16.74,919185.32
2320,4,1,3,24,3,1.17,724630.28
2040,3,4,2,34,1,15.16,604016.04
2192,3,4,3,10,3,27.67,671942.42
3148,5,1,2,1,0,19.64,900985.03
805,3,4,2,13,3,10.48,352921.02
3717,4,3,2,16,0,14.64,1040219.92
2033,2,1,3,2,0,28.54,546193.87
1416,1,2,1,8,3,20.41,401094.93
3465,3,3,1,7,1,28.98,928385.26
1042,5,1,2,24,3,28.3,345557.68
3169,2,1,3,19,0,24.09,849963.63
2918,1,3,3,27,2,3.0,833263.3
2320,4,1,2,23,3,21.51,659610.41
2383,2,3,3,34,3,14.48,696157.02
1920,2,1,2,28,1,22.76,494034.55
2934,5,4,2,1,3,25.68,879701.51
3867,3,3,2,17,0,15.98,1067922.38
1382,1,2,3,26,3,17.1,411386.29
3515,4,4,1,5,2,7.43,1050699.24
3433,2,3,3,23,3,17.05,924802.33
2854,3,3,3,29,2,9.89,871759.32
1544,1,2,2,7,1,6.55,473461.66
3014,5,3,1,12,2,7.6,892662.6
1334,3,1,3,34,1,8.96,436296.83
3456,2,4,1,0,2,14.61,972412.45
2404,3,2,1,16,3,4.31,736826.04
2963,1,2,1,19,0,29.82,753065.3
1085,5,4,3,14,3,14.06,410652.44
2356,3,1,3,6,1,19.14,683228.55
1683,1,2,1,11,0,5.54,474748.7
2524,3,1,1,18,2,21.39,700795.28
2459,1,2,2,12,3,4.33,717467.97
1688,2,1,1,10,2,18.26,487763.99
3976,5,3,2,7,3,20.97,1119133.88
2649,5,4,2,5,0,26.79,745680.38
3608,3,3,1,5,1,28.9,980343.07
684,3,1,1,30,3,27.57,191240.79
1343,5,4,3,31,0,14.63,457203.6
1028,2,3,2,31,2,20.21,329763.39
2240,5,1,2,5,2,8.32,718964.26
2707,1,4,2,3,1,16.03,786158.0
3150,4,4,1,13,2,16.93,925946.42
3460,4,1,1,15,1,10.01,955404.99
656,5,4,1,14,0,14.38,317414.34
2641,3,3,2,30,3,8.07,797142.93
2857,2,4,1,32,1,26.06,757949.31
2299,3,3,1,18,2,25.29,672466.46
2975,4,2,2,34,3,11.01,835832.4
2465,3,2,3,15,3,7.77,738305.91
3776,4,1,2,30,3,12.2,1028145.58
1223,4,1,1,32,2,26.22,329578.11
2403,1,4,1,9,3,26.26,671810.92
3801,3,3,3,25,0,25.7,1017389.87
3362,5,4,2,31,0,18.91,956501.62
1777,2,1,2,6,0,13.87,534851.81
3442,3,1,1,20,0,9.51,927781.4
2775,4,2,1,11,0,18.68,785105.48
2166,5,2,2,9,1,14.37,668187.19
638,4,3,3,34,1,3.14,308564.41
2015,5,3,3,27,2,14.25,622293.6
2579,1,2,2,22,2,29.79,722023.57
1809,1,4,2,0,0,27.41,511864.49
1772,2,3,1,12,2,20.66,488191.26
3552,2,1,3,2,2,23.87,968504.07
1138,1,3,2,26,1,6.82,370024.21
3821,5,3,3,32,2,25.08,1059524.51
2573,3,3,1,29,0,5.08,771414.93
1524,4,3,1,25,0,8.67,501085.99
3667,3,4,3,23,0,20.57,1021705.62
2531,1,3,3,14,0,19.43,673848.97
3259,4,1,1,2,0,9.83,923564.8
2617,1,1,1,34,1,12.27,658723.47
3452,5,4,3,9,3,19.99,1046474.97
2604,5,4,2,2,2,7.3,821598.88
2085,1,3,3,22,0,12.55,598823.99
1377,1,4,1,13,0,2.47,424847.72
3823,5,2,1,35,1,18.01,1081144.03
3930,2,3,1,0,2,25.89,1058639.06
1626,2,1,3,1,1,1.43,530270.38
3835,2,3,1,11,2,2.52,1077596.54
3654,1,4,2,23,0,14.11,968218.75
1507,5,1,3,33,2,14.28,489528.89
2561,4,4,3,6,3,21.66,779509.06
2416,1,1,2,9,0,4.66,663115.68
3516,3,4,3,33,2,14.16,978886.39
3079,4,1,3,7,1,13.47,893601.12
3989,4,4,2,6,2,13.38,1134375.25
3324,3,3,1,30,0,3.65,947586.15
3649,3,2,3,3,2,20.43,1021626.18
2282,3,4,3,3,2,18.41,689030.49
1471,2,4,1,6,2,25.52,462368.25
2105,1,3,3,14,3,25.51,620229.59
3113,5,1,3,17,0,6.23,903962.54
3478,3,3,2,0,1,26.23,943043.17
1181,1,1,3,33,1,11.91,336630.49
2458,3,2,2,19,2,23.53,679815.7
815,2,2,3,3,0,8.89,304220.5
3311,4,4,3,28,3,8.92,980478.99
2360,1,3,3,31,2,2.32,685929.64
2218,5,1,1,13,2,28.41,631548.88
1785,3,1,1,31,3,6.1,510754.82
2157,5,2,3,35,2,3.09,687873.7
676,4,1,2,27,3,21.58,243383.21
2310,3,1,2,1,2,5.98,712410.23
3424,3,1,2,6,1,13.63,940141.71
2240,5,1,2,19,2,7.43,690412.87
3193,1,2,2,22,1,7.85,863945.31
1199,3,2,1,9,0,6.14,405805.3
3690,5,4,3,20,2,5.38,1082718.64
879,4,4,3,19,2,18.15,347755.2
2491,4,1,1,23,2,3.23,740697.31
969,5,4,2,35,0,14.04,372647.87
1916,5,4,3,9,0,14.07,612456.24
3921,3,1,3,11,0,8.18,1065979.89
2741,5,2,2,23,2,12.24,817101.77
3772,3,1,3,21,0,10.56,1014843.41
1632,5,2,2,5,1,27.59,500242.89
1870,4,2,3,5,2,17.21,581670.68
1123,5,1,3,27,2,1.53,415125.9
1865,2,2,2,31,1,7.57,549327.23
3828,1,1,3,21,1,18.32,1003872.73
1231,2,2,3,10,3,2.27,423335.52
2419,5,3,3,28,1,16.49,747337.16
1867,4,2,2,28,3,23.31,554392.69
2314,2,2,3,8,2,2.51,687565.91
2568,3,1,3,33,0,9.27,721110.61
2702,2,4,1,14,3,26.65,738343.01
709,4,1,2,32,2,7.84,293382.33
715,3,1,3,21,1,4.99,283874.92
1775,4,2,3,30,3,18.85,548064.14
1483,2,4,1,18,1,9.73,470586.51
795,2,4,3,29,0,4.21,330855.55
667,5,2,3,9,2,13.45,298677.49
3118,3,2,3,26,1,20.27,889348.83
877,5,1,2,30,0,19.43,317511.15
2129,3,1,2,4,2,7.99,639807.56
2983,3,2,1,22,2,24.59,797619.16
1317,4,4,3,11,1,2.83,502993.35
1801,2,1,1,2,2,28.07,473905.37
2711,4,4,2,2,1,9.3,835741.04
3285,3,3,1,23,3,26.8,886972.98
3644,4,4,2,11,3,21.07,1022407.93
1692,1,4,1,27,1,16.82,503488.8
1915,1,1,2,18,2,13.93,530897.39
2418,3,4,1,22,3,8.96,722429.11
3841,1,1,3,25,2,15.88,1011044.32
727,2,4,1,8,0,7.84,282092.69
3242,3,3,2,2,1,20.69,923702.56
3725,1,2,3,23,3,10.12,1011677.19
1741,2,1,1,11,3,16.01,509752.83
3774,3,4,1,18,3,6.81,1075393.7
1155,1,4,1,28,0,24.5,366431.22
3335,3,1,3,34,2,26.85,870110.26
1245,2,3,3,14,0,29.57,367605.38
2623,1,3,3,23,3,24.31,706632.09
2859,2,1,1,19,3,29.99,737114.27
3750,4,1,1,20,0,14.05,996403.39
3385,5,3,1,35,1,23.27,943793.21
826,1,2,2,10,1,10.36,295453.66
3505,2,3,3,18,0,8.27,966829.62
1112,3,1,3,10,1,5.96,376859.77
3157,5,3,3,2,0,3.36,988471.49
1684,2,4,3,1,3,26.78,514967.72
2834,3,3,2,15,3,9.63,840653.19
2400,4,4,2,13,2,18.59,730158.77
1880,3,3,2,8,2,15.93,590741.34
1101,3,4,1,9,0,2.47,418879.93
2173,5,4,1,10,2,28.08,655294.04
1252,4,4,2,19,3,1.67,474151.66
2210,5,4,1,13,2,2.41,723813.64
3279,4,3,3,0,0,13.5,975845.8
1683,3,4,2,2,3,2.48,576576.22
1782,1,4,3,28,2,24.93,501584.37
3152,5,1,1,6,3,11.82,935147.23
2097,2,2,3,32,3,15.5,601110.98
785,1,2,3,21,3,16.06,287015.99
1172,3,3,1,25,2,18.22,401488.78
2677,5,4,3,19,3,24.66,790299.84
2306,5,3,3,1,3,8.7,773374.95
3285,5,2,3,3,3,5.94,980328.14
2157,2,2,1,7,1,1.55,631957.14
1884,4,2,2,13,3,15.55,575471.16
3613,1,2,3,13,2,29.95,930754.45
2559,5,4,2,11,3,27.45,760535.17
3762,3,4,1,15,2,17.18,1058784.42
1521,3,3,3,13,3,10.19,495748.4
3857,3,3,1,34,3,26.98,1051624.22
2216,3,2,2,2,2,28.7,657391.78
3286,3,4,1,12,2,28.06,919773.65
3451,3,2,1,15,1,2.47,984954.96
1553,1,1,2,21,3,3.92,464530.2
3757,2,1,3,10,3,19.93,1026898.25
3264,2,3,2,18,0,27.33,851856.96
966,5,2,3,2,1,13.12,404189.3
748,4,4,1,18,0,1.27,303823.67
2926,5,1,2,18,3,29.68,795237.62
1149,5,4,2,12,0,10.59,434270.69
3594,4,3,3,11,0,22.36,1007622.41
3701,2,2,3,25,3,15.94,990105.31
955,4,1,1,8,3,10.38,353743.08
1564,4,3,2,19,0,8.59,526084.96
2072,2,1,3,7,3,9.9,606263.62
3481,3,1,3,18,2,18.82,959924.75
1497,2,4,1,29,2,13.06,447380.0
2801,2,2,3,5,3,16.32,795797.88
2081,1,1,1,35,1,17.61,543598.02
2731,4,1,3,13,3,3.64,836765.17
2690,4,1,2,8,3,14.25,801298.75
3905,3,1,2,16,0,22.63,1034205.3
2968,1,1,2,22,0,16.69,803017.65
2533,1,3,2,11,1,23.21,700076.69
3587,4,3,2,28,3,11.89,1012764.96
2808,2,3,1,11,3,16.34,773106.55
3581,2,1,1,19,3,20.53,927058.18
3972,2,2,2,22,1,8.99,1071630.34
3569,1,1,3,26,0,7.98,968265.39
2428,5,1,1,2,3,13.73,742138.26
2810,2,1,1,32,2,7.79,783228.03
2965,5,3,1,19,1,29.59,815319.85
2735,2,4,2,17,0,17.14,749091.64
1317,4,4,1,22,3,23.79,420656.63
1905,4,4,1,19,3,6.33,616501.12
1523,3,2,2,3,3,29.07,455745.59
2882,5,2,2,15,2,6.9,846260.14
2119,1,2,1,17,3,20.54,551091.8
3069,1,1,1,35,1,14.9,798707.8
662,2,2,3,7,3,27.52,226529.5
3449,5,2,2,15,2,23.49,953466.41
2071,3,3,2,32,3,14.51,630301.69
3888,4,3,1,23,2,13.0,1074999.52
